state, kid_count,inventor_count,kid_count_m,inventor_count_m,kid_count_f,inventor_count_f,inventor_percent,inventor_percent_m,inventor_percent_f,inventor_avg_pq_1,inventor_avg_pq_2,inventor_avg_pq_3,inventor_avg_pq_4,inventor_avg_pq_5,state_abbr
Alabama,259258,207,130319,170,128909,37,0.08,82.13,17.87,0.0002,0.0002,0.0007,0.0009,0.0018,AL
Alaska,42401,85,21136,71,20385,13,0.2,83.53,15.29,0.0011,0.001,0.0007,0.0018,0.0037,AK
Arizona,249911,508,125894,413,124002,95,0.203,81.3,18.7,0.0008,0.0007,0.0014,0.0023,0.0043,AZ
Arkansas,172196,137,87162,117,85026,20,0.08,85.4,14.6,0.0002,0.0004,0.0007,0.0016,0.0024,AR
California,1631304,3964,817371,3211,813727,752,0.243,81,18.97,0.0006,0.0009,0.0017,0.002,0.0047,CA
Colorado,237984,670,120162,556,117112,114,0.282,82.98,17.02,0.0012,0.0013,0.0027,0.0023,0.0051,CO
Connecticut,171565,560,86019,448,85522,112,0.326,80,20,0.0006,0.0013,0.002,0.0027,0.0059,CT
Delaware,57476,119,28988,98,28487,21,0.207,82.35,17.65,0.0006,0.0004,0.001,0.0019,0.0052,DE
District of Columbia,231014,613,114724,492,116278,121,0.265,80.26,19.74,0.0009,0.0004,0.0013,0.0022,0.0049,DC
Florida,747748,1175,374230,920,373462,255,0.157,78.3,21.7,0.0005,0.0008,0.0011,0.0021,0.004,FL
Georgia,443248,473,222378,367,220820,106,0.107,77.59,22.41,0.0001,0.0002,0.0007,0.0011,0.0021,GA
Hawaii,62648,95,31514,70,31127,25,0.152,73.68,26.32,0.0003,0.0007,0.0008,0.0009,0.0036,HI
Idaho,75155,181,38292,158,36857,23,0.241,87.29,12.71,0.0011,0.0007,0.0014,0.0031,0.0043,ID
Illinois,693618,1776,347816,1465,345771,311,0.256,82.49,17.51,0.0002,0.0009,0.0014,0.0026,0.0049,IL
Indiana,395319,947,199975,796,195337,151,0.24,84.06,15.95,0.0005,0.001,0.0015,0.0027,0.0057,IN
Iowa,176936,471,88962,402,87974,69,0.266,85.35,14.65,0.0018,0.0015,0.0022,0.0033,0.0052,IA
Kansas,132385,223,66064,187,64676,34,0.168,83.86,15.25,0.001,0.0014,0.0014,0.0017,0.0031,KS
Kentucky,226212,269,113827,217,112381,52,0.119,80.67,19.33,0.0003,0.0004,0.0005,0.0015,0.0035,KY
Louisiana,305549,299,152390,259,153085,40,0.098,86.62,13.38,0.0002,0.0003,0.0007,0.001,0.0025,LA
Maine,65984,159,33210,123,32771,36,0.241,77.36,22.64,0.0006,0.0015,0.0018,0.0028,0.0041,ME
Maryland,157191,325,78039,254,79144,71,0.207,78.15,21.85,0.0006,0.0005,0.0014,0.0013,0.0045,MD
Massachusetts,282994,1048,141730,826,140863,221,0.37,78.82,21.09,0.0007,0.0018,0.0024,0.0031,0.0066,MA
Michigan,570414,1929,287349,1587,283028,342,0.338,82.27,17.73,0.0008,0.0014,0.002,0.0034,0.007,MI
Minnesota,313306,1175,157630,968,155373,205,0.375,82.38,17.45,0.0007,0.0015,0.0028,0.0028,0.0063,MN
Mississippi,188621,101,94601,86,94003,15,0.054,85.15,14.85,0.0002,0.0002,0.0004,0.0008,0.0022,MS
Missouri,403285,697,203162,587,200117,110,0.173,84.22,15.78,0.0003,0.0007,0.001,0.0016,0.0036,MO
